epoch,loss,mse,val_loss,val_mse
0,7916.92333984375,7916.92333984375,3500030.25,3500030.25
1,3083.227294921875,3083.227294921875,76584.7421875,76584.7421875
2,2419.73828125,2419.73828125,8327.150390625,8327.150390625
3,2020.945556640625,2020.945556640625,1203.3387451171875,1203.3387451171875
4,1884.245361328125,1884.245361328125,1415.535400390625,1415.535400390625
5,1761.8067626953125,1761.8067626953125,1413.564697265625,1413.564697265625
6,1699.558349609375,1699.558349609375,1320.843994140625,1320.843994140625
7,1684.8114013671875,1684.8114013671875,1359.781005859375,1359.781005859375
8,1802.826171875,1802.826171875,996.6802978515625,996.6802978515625
9,1780.7822265625,1780.7822265625,979.4354858398438,979.4354858398438
10,1448.509521484375,1448.509521484375,1662.20654296875,1662.20654296875
11,1593.8238525390625,1593.8238525390625,785.8947143554688,785.8947143554688
12,1748.072021484375,1748.072021484375,952.5015258789062,952.5015258789062
13,1474.073486328125,1474.073486328125,798.4549560546875,798.4549560546875
14,1480.31591796875,1480.31591796875,1269.2008056640625,1269.2008056640625
15,1477.3790283203125,1477.3790283203125,915.783935546875,915.783935546875
16,1638.33984375,1638.33984375,974.1559448242188,974.1559448242188
17,1363.0303955078125,1363.0303955078125,746.6331176757812,746.6331176757812
18,1704.7415771484375,1704.7415771484375,672.236328125,672.236328125
19,1606.87353515625,1606.87353515625,654.5912475585938,654.5912475585938
